,id_acidente,id_vitima,id_veiculo,sexo,idade,tipo_vitima,classificacao,tipo_veiculo,estado_alcoolizacao,escolaridade,data_obito,data_ocorrencia,latitude_x,longitude_x,end_x,geocode_x,cadloga,cadlogb,alt_num,referencia,data,cod_acid,dp,talao,feridos,mortos,distrito_atz,princ_a,princ_b,tipo_acidente,automovel,moto,onibus,caminhao,bicicleta,moto_taxi,onibus_fretado,onibus_urbano,microonibus,van,vuc,caminhonete,carreta,jipe,outros,sem_info,carroca,latitude_y,longitude_y,end_y,geocode_y,flag_cruzamento
315,D031400337,1,1.0,F,34,CD,F,BI,BR,7,,2014-03-24 20:16,-23.60259,-46.65663,"ALAMEDA DOS MARACATINS, ",MapInfo CET,12847,,,NC,2014-03-24 20:16,2,27,2932,1,0,SO1,12847.0,,CO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.602595,-46.656634999999994,ALAMEDA DOS MARACATINS,MapInfo CET,False
316,D031400519,1,2.0,F,50,CD,F,BI,BR,3,,2014-03-16 10:04,-23.555139999999998,-46.69708,"RUA NATINGUI, 980",MapInfo CET,14435,,980,,2014-03-16 10:04,2,14,2661,1,0,OE1,14435.0,,SI,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.555142,-46.697082,"RUA NATINGUI, 980",MapInfo CET,False
317,D031400520,1,2.0,F,SI,CD,F,BI,BR,8,,2014-03-07 13:05,-23.554370000000002,-46.67626,RUA CARD ARCOVERDE AND RUA OSCAR FREIRE,MapInfo CET,2149,15114.0,,,2014-03-07 13:05,2,14,2701,1,0,OE1,2149.0,15114.0,CO,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-23.554370000000002,-46.676262,RUA CARD ARCOVERDE X RUA OSCAR FREIRE,MapInfo CET,True
318,D031400573,1,2.0,F,28,CD,F,BI,BR,7,,2014-03-19 11:25,-23.55123,-46.670559999999995,"RUA ITATINGA, ",MapInfo CET,9613,,,PXCASSIO MARTIN,2014-03-19 11:25,2,23,1518,1,0,OE1,4552.0,,SI,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.551233,-46.670561,RUA ITATINGA,MapInfo CET,False
319,D031400582,1,2.0,F,21,CD,F,BI,BR,8,,2014-03-21 17:50,-23.52601,-46.66771,"AV AURO SOARES DE M.ANDRADE, 664",MapInfo CET,44885,,664,,2014-03-21 17:50,2,23,2178,1,0,NO1,44885.0,,CO,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.526013,-46.667711,"AV AURO SOARES DE M.ANDRADE, 664",MapInfo CET,False
320,D031401224,1,1.0,F,19,CD,F,BI,BR,3,,2014-03-18 07:00,-23.54133,-46.49864,"AV DR PEREIRA VERGUEIRO, 144",MapInfo CET,16100,,144,,2014-03-18 07:00,2,21,1076,1,0,LE2,16100.0,,CL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.541332,-46.49864,"AV DR PEREIRA VERGUEIRO, 144",MapInfo CET,False
321,D031401322,2,1.0,F,35,PS,F,BI,BR,5,,2014-03-30 06:30,-23.58099,-46.55703,"AV VILA EMA, 1860",MapInfo CET,19708,,1860,,2014-03-30 06:30,2,42,954,2,0,SE2,19708.0,,CT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-23.580993,-46.557038,"AV VILA EMA, 1860",MapInfo CET,False
322,D031401884,1,1.0,F,35,CD,F,AU,BR,7,,2014-03-06 15:25,-23.543329999999997,-46.42502,"RUA GUITICOROIA, 112",MapInfo CET,59980,,112,,2014-03-06 15:25,2,44,1487,3,0,LE3,59980.0,,CO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.543332999999997,-46.425022,"RUA GUITICOROIA, 112",MapInfo CET,False
323,D031401932,1,2.0,F,18,CD,F,BI,BR,8,,2014-03-05 14:30,-23.56973,-46.45919,"RUA JOHN SPEERS, 270",MapInfo CET,35942,,270,,2014-03-05 14:30,2,53,1807,1,0,SE1,35942.0,,SI,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.569733,-46.459195,"RUA JOHN SPEERS, 270",MapInfo CET,False
324,D031402055,1,1.0,F,09,PD,M,BI,BR,2,2014-12-03,2014-03-12 08:10,-23.57357,-46.39963,"RUA IGARAPE DA BELA AURORA, 359",MapInfo CET,99789,,359,,2014-03-12 08:10,4,53,2012,0,1,LE3,99789.0,,AT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.573579000000002,-46.399637,"RUA IGARAPE DA BELA AURORA, 359",MapInfo CET,False
325,D041400051,1,1.0,F,24,CD,F,BI,BR,5,,2014-04-12 14:00,-23.53064,-46.63627,"RUA PRATES, 379",MapInfo CET,16581,,379,,2014-04-12 14:00,2,2,2469,1,0,CN1,16581.0,,CL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.530642999999998,-46.636276,"RUA PRATES, 379",MapInfo CET,False
326,D041400327,1,2.0,F,28,CD,F,BI,BR,3,,2014-04-08 18:20,-23.629720000000002,-46.673140000000004,RUA CRISTOVAO PEREIRA AND ,MapInfo CET,5527,31498.0,,,2014-04-08 18:20,2,27,3470,1,0,SO2,5527.0,31498.0,CO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.629722,-46.673140000000004,RUA CRISTOVAO PEREIRA X,MapInfo CET,True
327,D041400668,1,2.0,F,26,CD,F,BI,BR,8,,2014-04-24 08:45,-23.55967,-46.71128,"AV MAGALHAES DE CASTRO, 1",MapInfo CET,12502,,1,,2014-04-24 08:45,2,34,1860,1,0,PB,13014.0,,SI,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.559673999999998,-46.711284,"AV MAGALHAES DE CASTRO, 1",MapInfo CET,False
328,D041400870,1,1.0,F,42,CD,F,BI,BR,5,,2014-04-02 13:30,-23.60363,-46.74372,"AV GAL CAVALCANTI DE ALBUQUERQUE, 90",MapInfo CET,4642,,90,,2014-04-02 13:30,2,89,3042,1,0,OE3,4642.0,,QM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.603637,-46.743722,"AV GAL CAVALCANTI DE ALBUQUERQUE, 90",MapInfo CET,False
329,D041401121,2,1.0,F,77,PD,F,BI,BR,8,,2014-04-16 16:29,-23.4801,-46.6073,"AV TUCURUVI, 435",MapInfo CET,19201,,435,,2014-04-16 16:29,4,39,1628,2,0,CN2,19201.0,,AT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.480105,-46.607301,"AV TUCURUVI, 435",MapInfo CET,False
330,D041401288,1,1.0,F,56,PD,F,BI,BR,3,,2014-04-01 19:00,-23.559479999999997,-46.600120000000004,"AV PAES DE BARROS, 400",MapInfo CET,15304,,400,,2014-04-01 19:00,4,18,2101,1,0,SE2,15304.0,,AT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.559484,-46.600125,"AV PAES DE BARROS, 400",MapInfo CET,False
331,D041401412,1,1.0,F,33,CD,F,BI,BR,7,,2014-04-22 13:23,-23.58975,-46.58737,"RUA LEONOR MONTEIRO DA SILVA, 10",MapInfo CET,11776,,10,,2014-04-22 13:23,2,56,2086,1,0,SE2,11776.0,,QM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.589754,-46.587377000000004,"RUA LEONOR MONTEIRO DA SILVA, 10",MapInfo CET,False
332,D041401466,1,2.0,F,26,CD,F,BI,BR,8,,2014-04-30 23:30,-23.52848,-46.59755,"AV CDSSA ELISABETH DE ROBIANO, ",MapInfo CET,6371,,,NC,2014-04-30 23:30,2,81,4445,1,0,TT,29772.0,,CO,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-23.528484,-46.597552,AV CDSSA ELISABETH DE ROBIANO,MapInfo CET,False
